expt_no_true,expt_no,sit_probability,bend_probability,stand_probability,tampered_probability,inaction_probability,w_bl,w_br,w_b_sum,w_b_change,w_fl,w_fr,w_f_sum,w_f_change,v_bidet,v_tissue,label,sit_total,bend_total,stand_total,tampered_total,inaction_total,predicted_label
30,7,0.999999762,1.93E-07,5.48E-10,1.59E-10,2.06E-09,860.61,510.75,1371.36,1.49,0.95,1.29,2.24,-0.14,0,0,0,0.999999838,1.31E-07,3.73E-10,1.08E-10,1.40E-09,0
30,7,0.999999762,2.27E-07,6.38E-10,1.03E-10,2.06E-09,861.09,511.83,1372.92,1.56,0.89,1.21,2.1,-0.14,0,0,0,0.999999838,1.54E-07,4.34E-10,7.00E-11,1.40E-09,0
30,7,0.999999881,8.41E-08,5.10E-10,4.99E-11,2.06E-09,861.33,512.03,1373.36,0.44,0.84,1.14,1.98,-0.12,0,0,0,0.999999919,5.72E-08,3.47E-10,3.39E-11,1.40E-09,0
30,7,0.999995828,4.19E-06,9.51E-10,3.80E-10,2.06E-09,861.53,512.79,1374.32,0.96,0.8,1.08,1.88,-0.1,0,0,0,0.999997163,2.85E-06,6.47E-10,2.58E-10,1.40E-09,0
30,7,0.999996305,3.65E-06,8.41E-10,4.53E-10,2.06E-09,861.93,513.3,1375.23,0.91,0.76,1.07,1.83,-0.05,0,0,0,0.999997487,2.48E-06,5.72E-10,3.08E-10,1.40E-09,0
30,7,0.999994636,5.41E-06,9.78E-10,5.60E-10,2.06E-09,861.87,513.97,1375.84,0.61,0.72,1.02,1.74,-0.09,0,0,0,0.999996352,3.68E-06,6.65E-10,3.81E-10,1.40E-09,0
30,7,0.999998927,1.06E-06,5.56E-10,3.35E-10,2.06E-09,862.33,515.55,1377.88,2.04,0.73,0.97,1.7,-0.04,0,0,0,0.99999927,7.21E-07,3.78E-10,2.28E-10,1.40E-09,0
30,7,0.999997616,2.38E-06,6.36E-10,4.28E-10,2.06E-09,862.69,516.58,1379.27,1.39,1.06,0.93,1.99,0.29,0,0,0,0.999998379,1.62E-06,4.32E-10,2.91E-10,1.40E-09,0
30,7,0.99999845,1.57E-06,4.25E-10,2.67E-10,2.06E-09,863.08,517.59,1380.67,1.4,1.01,0.88,1.89,-0.1,0,1,0,0.999998946,1.07E-06,2.89E-10,1.82E-10,1.40E-09,0
30,7,0.999998689,1.30E-06,3.95E-10,3.05E-10,2.06E-09,863.55,519.27,1382.82,2.15,1.01,0.85,1.86,-0.03,0,1,0,0.999999109,8.84E-07,2.69E-10,2.07E-10,1.40E-09,0
30,7,0.999999762,1.94E-07,3.73E-10,1.26E-10,2.06E-09,864.1,520.52,1384.62,1.8,0.93,0.78,1.71,-0.15,0,1,0,0.999999838,1.32E-07,2.54E-10,8.57E-11,1.40E-09,0
30,7,0.999999881,1.41E-07,2.97E-10,6.88E-11,2.06E-09,864.37,521.62,1385.99,1.37,0.89,0.75,1.64,-0.07,0,1,0,0.999999919,9.59E-08,2.02E-10,4.68E-11,1.40E-09,0
30,7,1,3.78E-08,1.90E-10,1.68E-11,2.06E-09,864.73,522.6,1387.33,1.34,0.83,0.7,1.53,-0.11,0,2,0,1,2.57E-08,1.29E-10,1.14E-11,1.40E-09,0
30,7,1,3.41E-08,1.86E-10,2.09E-11,2.06E-09,864.8,523.29,1388.09,0.76,0.8,0.67,1.47,-0.06,0,3,0,1,2.32E-08,1.26E-10,1.42E-11,1.40E-09,0
30,7,1,2.21E-08,1.91E-10,1.26E-11,2.06E-09,865.09,525.23,1390.32,2.23,0.78,0.65,1.43,-0.04,0,3,0,1,1.50E-08,1.30E-10,8.57E-12,1.40E-09,0
30,7,1,3.57E-08,2.12E-10,1.78E-11,2.06E-09,863.37,514.26,1377.63,-12.69,0.75,0.63,1.38,-0.05,0,3,0,1,2.43E-08,1.44E-10,1.21E-11,1.40E-09,0
30,7,0.999999881,6.64E-08,2.99E-10,4.74E-11,2.06E-09,863.09,511.01,1374.1,-3.53,0.73,0.61,1.34,-0.04,0,3,0,0.999999919,4.52E-08,2.03E-10,3.22E-11,1.40E-09,0
30,7,0.999999881,9.39E-08,3.70E-10,9.62E-11,2.06E-09,862.83,509.09,1371.92,-2.18,0.7,0.59,1.29,-0.05,0,3,0,0.999999919,6.39E-08,2.52E-10,6.54E-11,1.40E-09,0
30,7,0.999999881,1.23E-07,3.88E-10,1.00E-10,2.06E-09,862.93,508.54,1371.47,-0.45,0.68,0.57,1.25,-0.04,0,3,0,0.999999919,8.36E-08,2.64E-10,6.80E-11,1.40E-09,0
